cluster_ID,files,title,description
LIMBO_Cluster_0,org/apache/lucene/codecs/BlockTermState.java; org/apache/lucene/codecs/Codec.java; org/apache/lucene/codecs/CodecUtil.java; org/apache/lucene/codecs/CompetitiveImpactAccumulator.java; org/apache/lucene/codecs/CompoundDirectory.java; org/apache/lucene/codecs/CompoundFormat.java; org/apache/lucene/codecs/DocValuesConsumer.java; org/apache/lucene/codecs/DocValuesFormat.java; org/apache/lucene/codecs/DocValuesProducer.java; org/apache/lucene/codecs/FieldInfosFormat.java; org/apache/lucene/codecs/FieldsConsumer.java; org/apache/lucene/codecs/FieldsProducer.java; org/apache/lucene/codecs/LiveDocsFormat.java; org/apache/lucene/codecs/MultiLevelSkipListReader.java; org/apache/lucene/codecs/MultiLevelSkipListWriter.java; org/apache/lucene/codecs/MutablePointValues.java; org/apache/lucene/codecs/NormsConsumer.java; org/apache/lucene/codecs/NormsFormat.java; org/apache/lucene/codecs/NormsProducer.java; org/apache/lucene/codecs/PointsFormat.java; org/apache/lucene/codecs/PointsReader.java; org/apache/lucene/codecs/PointsWriter.java; org/apache/lucene/codecs/PostingsFormat.java; org/apache/lucene/codecs/PostingsReaderBase.java; org/apache/lucene/codecs/PostingsWriterBase.java; org/apache/lucene/codecs/SegmentInfoFormat.java; org/apache/lucene/codecs/StoredFieldsFormat.java; org/apache/lucene/codecs/StoredFieldsReader.java; org/apache/lucene/codecs/StoredFieldsWriter.java; org/apache/lucene/codecs/TermStats.java; org/apache/lucene/codecs/TermVectorsFormat.java; org/apache/lucene/codecs/TermVectorsReader.java; org/apache/lucene/codecs/TermVectorsWriter.java; org/apache/lucene/codecs/blocktree/BlockTreeTermsWriter.java; org/apache/lucene/codecs/lucene84/Lucene84PostingsReader.java; org/apache/lucene/codecs/lucene84/Lucene84PostingsWriter.java; org/apache/lucene/codecs/memory/LegacyNumericDocValues.java; org/apache/lucene/codecs/memory/LegacySortedNumericDocValues.java; org/apache/lucene/index/BaseTermsEnum.java; org/apache/lucene/index/BinaryDocValues.java; org/apache/lucene/index/CorruptIndexException.java; org/apache/lucene/index/DocValues.java; org/apache/lucene/index/DocValuesType.java; org/apache/lucene/index/EmptyDocValuesProducer.java; org/apache/lucene/index/FieldInfo.java; org/apache/lucene/index/FieldInfos.java; org/apache/lucene/index/Fields.java; org/apache/lucene/index/Impact.java; org/apache/lucene/index/Impacts.java; org/apache/lucene/index/ImpactsEnum.java; org/apache/lucene/index/IndexFileNames.java; org/apache/lucene/index/IndexOptions.java; org/apache/lucene/index/IndexSorter.java; org/apache/lucene/index/IndexableField.java; org/apache/lucene/index/NumericDocValues.java; org/apache/lucene/index/OrdTermState.java; org/apache/lucene/index/PointValues.java; org/apache/lucene/index/PointValues/IntersectVisitor.java; org/apache/lucene/index/PointValues/Relation.java; org/apache/lucene/index/PostingsEnum.java; org/apache/lucene/index/SegmentCommitInfo.java; org/apache/lucene/index/SegmentInfo.java; org/apache/lucene/index/SegmentReadState.java; org/apache/lucene/index/SegmentWriteState.java; org/apache/lucene/index/SlowImpactsEnum.java; org/apache/lucene/index/SortFieldProvider.java; org/apache/lucene/index/SortedDocValues.java; org/apache/lucene/index/SortedNumericDocValues.java; org/apache/lucene/index/SortedSetDocValues.java; org/apache/lucene/index/StoredFieldVisitor.java; org/apache/lucene/index/StoredFieldVisitor/Status.java; org/apache/lucene/index/TermState.java; org/apache/lucene/index/Terms.java; org/apache/lucene/index/TermsEnum.java; org/apache/lucene/index/TermsEnum/SeekStatus.java; org/apache/lucene/search/DocIdSetIterator.java; org/apache/lucene/search/Sort.java; org/apache/lucene/search/SortField.java; org/apache/lucene/store/AlreadyClosedException.java; org/apache/lucene/store/BufferedChecksumIndexInput.java; org/apache/lucene/store/ByteArrayDataInput.java; org/apache/lucene/store/ChecksumIndexInput.java; org/apache/lucene/store/DataInput.java; org/apache/lucene/store/DataOutput.java; org/apache/lucene/store/Directory.java; org/apache/lucene/store/IOContext.java; org/apache/lucene/store/IOContext/Context.java; org/apache/lucene/store/IndexInput.java; org/apache/lucene/store/IndexOutput.java; org/apache/lucene/store/RAMOutputStream.java; org/apache/lucene/store/TrackingDirectoryWrapper.java; org/apache/lucene/util/Accountable.java; org/apache/lucene/util/Accountables.java; org/apache/lucene/util/ArrayUtil.java; org/apache/lucene/util/Bits.java; org/apache/lucene/util/Bits/MatchAllBits.java; org/apache/lucene/util/BytesRef.java; org/apache/lucene/util/BytesRefBuilder.java; org/apache/lucene/util/CharsRef.java; org/apache/lucene/util/CharsRefBuilder.java; org/apache/lucene/util/FixedBitSet.java; org/apache/lucene/util/FutureArrays.java; org/apache/lucene/util/IOUtils.java; org/apache/lucene/util/IntsRef.java; org/apache/lucene/util/IntsRefBuilder.java; org/apache/lucene/util/NumericUtils.java; org/apache/lucene/util/PagedBytes.java; org/apache/lucene/util/PagedBytes/Reader.java; org/apache/lucene/util/RamUsageEstimator.java; org/apache/lucene/util/StringHelper.java; org/apache/lucene/util/Version.java; org/apache/lucene/util/automaton/Automaton.java; org/apache/lucene/util/automaton/ByteRunAutomaton.java; org/apache/lucene/util/automaton/CompiledAutomaton.java; org/apache/lucene/util/automaton/CompiledAutomaton/AUTOMATON_TYPE.java; org/apache/lucene/util/automaton/RunAutomaton.java; org/apache/lucene/util/automaton/Transition.java; org/apache/lucene/util/bkd/BKDConfig.java; org/apache/lucene/util/bkd/BKDRadixSelector.java; org/apache/lucene/util/bkd/BKDRadixSelector/PathSlice.java; org/apache/lucene/util/bkd/HeapPointWriter.java; org/apache/lucene/util/bkd/MutablePointsReaderUtils.java; org/apache/lucene/util/bkd/OfflinePointWriter.java; org/apache/lucene/util/bkd/PointReader.java; org/apache/lucene/util/bkd/PointValue.java; org/apache/lucene/util/bkd/PointWriter.java; org/apache/lucene/util/fst/Builder.java; org/apache/lucene/util/fst/BytesRefFSTEnum.java; org/apache/lucene/util/fst/BytesRefFSTEnum/InputOutput.java; org/apache/lucene/util/fst/FST.java; org/apache/lucene/util/fst/FST/Arc.java; org/apache/lucene/util/fst/FST/BytesReader.java; org/apache/lucene/util/fst/FST/INPUT_TYPE.java; org/apache/lucene/util/fst/Outputs.java; org/apache/lucene/util/fst/PairOutputs.java; org/apache/lucene/util/fst/PairOutputs/Pair.java; org/apache/lucene/util/fst/PositiveIntOutputs.java; org/apache/lucene/util/fst/Util.java; org/apache/lucene/util/packed/MonotonicBlockPackedReader.java; org/apache/lucene/util/packed/MonotonicBlockPackedWriter.java; org/apache/lucene/util/packed/PackedInts.java,LIMBO Architectural Component 0,"This LIMBO cluster groups related Apache Lucene classes based on structural similarity. The components interact through indexing, storage, codec, and retrieval responsibilities. The architecture improves maintainability, modularity, and scalability by organizing related Java classes together. Technologies used include Java and Apache Lucene."
LIMBO_Cluster_1,org/apache/lucene/codecs/blockterms/BlockTermsReader/FieldAndTerm.java; org/apache/lucene/codecs/blockterms/BlockTermsReader/FieldReader/SegmentTermsEnum.java; org/apache/lucene/codecs/blockterms/TermsIndexReaderBase/FieldIndexEnum.java; org/apache/lucene/codecs/blockterms/TermsIndexWriterBase/FieldWriter.java; org/apache/lucene/codecs/blocktreeords/FSTOrdsOutputs/Output.java; org/apache/lucene/codecs/blocktreeords/OrdsBlockTreeTermsWriter/FieldMetaData.java; org/apache/lucene/codecs/blocktreeords/OrdsBlockTreeTermsWriter/PendingEntry.java; org/apache/lucene/codecs/blocktreeords/OrdsBlockTreeTermsWriter/PendingTerm.java; org/apache/lucene/codecs/blocktreeords/OrdsBlockTreeTermsWriter/SubIndex.java; org/apache/lucene/codecs/blocktreeords/OrdsIntersectTermsEnum.java; org/apache/lucene/codecs/blocktreeords/OrdsIntersectTermsEnumFrame.java; org/apache/lucene/codecs/blocktreeords/OrdsSegmentTermsEnum.java; org/apache/lucene/codecs/blocktreeords/OrdsSegmentTermsEnum/1.java; org/apache/lucene/codecs/blocktreeords/OrdsSegmentTermsEnum/InputOutput.java; org/apache/lucene/codecs/blocktreeords/OrdsSegmentTermsEnumFrame.java; org/apache/lucene/codecs/bloom/HashFunction.java; org/apache/lucene/codecs/bloom/MurmurHash2.java; org/apache/lucene/codecs/memory/FSTTermsReader/TermsReader/BaseTermsEnum.java; org/apache/lucene/codecs/memory/FSTTermsReader/TermsReader/IntersectTermsEnum.java; org/apache/lucene/codecs/memory/FSTTermsReader/TermsReader/SegmentTermsEnum.java; org/apache/lucene/codecs/memory/LegacyBinaryDocValues.java,LIMBO Architectural Component 1,"This LIMBO cluster groups related Apache Lucene classes based on structural similarity. The components interact through indexing, storage, codec, and retrieval responsibilities. The architecture improves maintainability, modularity, and scalability by organizing related Java classes together. Technologies used include Java and Apache Lucene."
LIMBO_Cluster_2,org/apache/lucene/codecs/blockterms/BlockTermsReader/FieldReader.java; org/apache/lucene/codecs/blockterms/BlockTermsWriter.java; org/apache/lucene/codecs/blockterms/BlockTermsWriter/1.java; org/apache/lucene/codecs/blockterms/BlockTermsWriter/FieldMetaData.java; org/apache/lucene/codecs/blockterms/BlockTermsWriter/TermEntry.java; org/apache/lucene/codecs/blockterms/BlockTermsWriter/TermsWriter.java; org/apache/lucene/codecs/blockterms/FixedGapTermsIndexReader/FieldIndexData.java; org/apache/lucene/codecs/blockterms/FixedGapTermsIndexReader/IndexEnum.java; org/apache/lucene/codecs/blockterms/FixedGapTermsIndexWriter.java; org/apache/lucene/codecs/blockterms/FixedGapTermsIndexWriter/SimpleFieldWriter.java; org/apache/lucene/codecs/blockterms/TermsIndexReaderBase.java; org/apache/lucene/codecs/blockterms/TermsIndexWriterBase.java; org/apache/lucene/codecs/blockterms/VariableGapTermsIndexReader/FieldIndexData.java; org/apache/lucene/codecs/blockterms/VariableGapTermsIndexReader/IndexEnum.java; org/apache/lucene/codecs/blockterms/VariableGapTermsIndexWriter.java; org/apache/lucene/codecs/blockterms/VariableGapTermsIndexWriter/FSTFieldWriter.java; org/apache/lucene/codecs/blocktreeords/BlockTreeOrdsPostingsFormat.java; org/apache/lucene/codecs/blocktreeords/FSTOrdsOutputs.java; org/apache/lucene/codecs/blocktreeords/OrdsBlockTreeTermsWriter.java; org/apache/lucene/codecs/blocktreeords/OrdsBlockTreeTermsWriter/PendingBlock.java; org/apache/lucene/codecs/blocktreeords/OrdsBlockTreeTermsWriter/TermsWriter.java; org/apache/lucene/codecs/blocktreeords/OrdsFieldReader.java; org/apache/lucene/codecs/bloom/BloomFilterFactory.java; org/apache/lucene/codecs/bloom/BloomFilteringPostingsFormat.java; org/apache/lucene/codecs/bloom/BloomFilteringPostingsFormat/BloomFilteredFieldsConsumer.java; org/apache/lucene/codecs/bloom/BloomFilteringPostingsFormat/BloomFilteredFieldsProducer/BloomFilteredTerms.java; org/apache/lucene/codecs/bloom/BloomFilteringPostingsFormat/BloomFilteredFieldsProducer/BloomFilteredTermsEnum.java; org/apache/lucene/codecs/bloom/DefaultBloomFilterFactory.java; org/apache/lucene/codecs/bloom/FuzzySet.java; org/apache/lucene/codecs/bloom/FuzzySet/ContainsResult.java; org/apache/lucene/codecs/memory/DirectDocValuesConsumer.java; org/apache/lucene/codecs/memory/DirectDocValuesConsumer/1.java; org/apache/lucene/codecs/memory/DirectDocValuesConsumer/1/1.java; org/apache/lucene/codecs/memory/DirectDocValuesFormat.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/1.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/DirectField.java; org/apache/lucene/codecs/memory/FSTPostingsFormat.java; org/apache/lucene/codecs/memory/FSTTermOutputs.java; org/apache/lucene/codecs/memory/FSTTermsReader/TermsReader.java; org/apache/lucene/codecs/memory/FSTTermsReader/TermsReader/IntersectTermsEnum/Frame.java; org/apache/lucene/codecs/memory/FSTTermsWriter.java; org/apache/lucene/codecs/memory/FSTTermsWriter/FieldMetaData.java; org/apache/lucene/codecs/memory/FSTTermsWriter/TermsWriter.java; org/apache/lucene/codecs/memory/LegacySortedDocValues.java; org/apache/lucene/codecs/memory/LegacySortedSetDocValues.java; org/apache/lucene/codecs/simpletext/SimpleTextBKDReader.java; org/apache/lucene/codecs/simpletext/SimpleTextBKDReader/IntersectState.java; org/apache/lucene/codecs/simpletext/SimpleTextBKDWriter.java; org/apache/lucene/codecs/simpletext/SimpleTextBKDWriter/1.java; org/apache/lucene/codecs/simpletext/SimpleTextBKDWriter/2.java; org/apache/lucene/codecs/simpletext/SimpleTextBKDWriter/3.java; org/apache/lucene/codecs/simpletext/SimpleTextBKDWriter/OneDimensionBKDWriter.java; org/apache/lucene/codecs/simpletext/SimpleTextBKDWriter/OneDimensionBKDWriter/1.java; org/apache/lucene/codecs/simpletext/SimpleTextCodec.java; org/apache/lucene/codecs/simpletext/SimpleTextCompoundFormat.java; org/apache/lucene/codecs/simpletext/SimpleTextCompoundFormat/1.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesFormat.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesWriter.java; org/apache/lucene/codecs/simpletext/SimpleTextFieldInfosFormat.java; org/apache/lucene/codecs/simpletext/SimpleTextFieldsReader.java; org/apache/lucene/codecs/simpletext/SimpleTextFieldsReader/SimpleTextTerms.java; org/apache/lucene/codecs/simpletext/SimpleTextFieldsReader/SimpleTextTermsEnum.java; org/apache/lucene/codecs/simpletext/SimpleTextFieldsWriter.java; org/apache/lucene/codecs/simpletext/SimpleTextLiveDocsFormat.java; org/apache/lucene/codecs/simpletext/SimpleTextNormsFormat.java; org/apache/lucene/codecs/simpletext/SimpleTextNormsFormat/SimpleTextNormsConsumer.java; org/apache/lucene/codecs/simpletext/SimpleTextNormsFormat/SimpleTextNormsConsumer/1.java; org/apache/lucene/codecs/simpletext/SimpleTextNormsFormat/SimpleTextNormsProducer.java; org/apache/lucene/codecs/simpletext/SimpleTextPointsFormat.java; org/apache/lucene/codecs/simpletext/SimpleTextPointsReader.java; org/apache/lucene/codecs/simpletext/SimpleTextPointsWriter.java; org/apache/lucene/codecs/simpletext/SimpleTextPointsWriter/1.java; org/apache/lucene/codecs/simpletext/SimpleTextPostingsFormat.java; org/apache/lucene/codecs/simpletext/SimpleTextSegmentInfoFormat.java; org/apache/lucene/codecs/simpletext/SimpleTextSegmentInfoFormat/BytesRefOutput.java; org/apache/lucene/codecs/simpletext/SimpleTextSkipReader/1.java; org/apache/lucene/codecs/simpletext/SimpleTextSkipWriter.java; org/apache/lucene/codecs/simpletext/SimpleTextStoredFieldsFormat.java; org/apache/lucene/codecs/simpletext/SimpleTextStoredFieldsReader.java; org/apache/lucene/codecs/simpletext/SimpleTextStoredFieldsReader/1.java; org/apache/lucene/codecs/simpletext/SimpleTextStoredFieldsWriter.java; org/apache/lucene/codecs/simpletext/SimpleTextTermVectorsFormat.java; org/apache/lucene/codecs/simpletext/SimpleTextTermVectorsReader.java; org/apache/lucene/codecs/simpletext/SimpleTextTermVectorsReader/1.java; org/apache/lucene/codecs/simpletext/SimpleTextTermVectorsReader/SimpleTVFields.java; org/apache/lucene/codecs/simpletext/SimpleTextTermVectorsReader/SimpleTVTerms.java; org/apache/lucene/codecs/simpletext/SimpleTextTermVectorsReader/SimpleTVTermsEnum.java; org/apache/lucene/codecs/simpletext/SimpleTextTermVectorsWriter.java; org/apache/lucene/codecs/simpletext/SimpleTextUtil.java,LIMBO Architectural Component 2,"This LIMBO cluster groups related Apache Lucene classes based on structural similarity. The components interact through indexing, storage, codec, and retrieval responsibilities. The architecture improves maintainability, modularity, and scalability by organizing related Java classes together. Technologies used include Java and Apache Lucene."
LIMBO_Cluster_3,org/apache/lucene/codecs/blockterms/BlockTermsReader.java; org/apache/lucene/codecs/blockterms/FixedGapTermsIndexReader.java; org/apache/lucene/codecs/blockterms/VariableGapTermsIndexReader.java; org/apache/lucene/codecs/blocktreeords/OrdsBlockTreeTermsReader.java; org/apache/lucene/codecs/bloom/BloomFilteringPostingsFormat/BloomFilteredFieldsProducer.java; org/apache/lucene/codecs/memory/FSTTermsReader.java,LIMBO Architectural Component 3,"This LIMBO cluster groups related Apache Lucene classes based on structural similarity. The components interact through indexing, storage, codec, and retrieval responsibilities. The architecture improves maintainability, modularity, and scalability by organizing related Java classes together. Technologies used include Java and Apache Lucene."
LIMBO_Cluster_4,org/apache/lucene/codecs/blockterms/VariableGapTermsIndexWriter/EveryNOrDocFreqTermSelector.java; org/apache/lucene/codecs/blockterms/VariableGapTermsIndexWriter/EveryNTermSelector.java; org/apache/lucene/codecs/blockterms/VariableGapTermsIndexWriter/IndexTermSelector.java,LIMBO Architectural Component 4,"This LIMBO cluster groups related Apache Lucene classes based on structural similarity. The components interact through indexing, storage, codec, and retrieval responsibilities. The architecture improves maintainability, modularity, and scalability by organizing related Java classes together. Technologies used include Java and Apache Lucene."
LIMBO_Cluster_5,org/apache/lucene/codecs/memory/DirectDocValuesProducer/1.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/2.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/3.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/4.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/BinaryEntry.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/FSTEntry.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/NumericEntry.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/SortedEntry.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/SortedNumericEntry.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/SortedSetEntry.java,LIMBO Architectural Component 5,"This LIMBO cluster groups related Apache Lucene classes based on structural similarity. The components interact through indexing, storage, codec, and retrieval responsibilities. The architecture improves maintainability, modularity, and scalability by organizing related Java classes together. Technologies used include Java and Apache Lucene."
LIMBO_Cluster_6,org/apache/lucene/codecs/memory/DirectDocValuesProducer/5.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/6.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/7.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/8.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/BinaryRawValues.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/NumericRawValues.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/SortedNumericRawValues.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/SortedRawValues.java; org/apache/lucene/codecs/memory/DirectDocValuesProducer/SortedSetRawValues.java; org/apache/lucene/codecs/memory/DirectPostingsFormat.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/DirectField/DirectIntersectTermsEnum.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/DirectField/DirectIntersectTermsEnum/State.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/DirectField/DirectTermsEnum.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/DirectField/HighFreqTerm.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/DirectField/IntArrayWriter.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/DirectField/LowFreqTerm.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/DirectField/TermAndSkip.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/DirectFields.java; org/apache/lucene/codecs/memory/FSTTermOutputs/TermData.java,LIMBO Architectural Component 6,"This LIMBO cluster groups related Apache Lucene classes based on structural similarity. The components interact through indexing, storage, codec, and retrieval responsibilities. The architecture improves maintainability, modularity, and scalability by organizing related Java classes together. Technologies used include Java and Apache Lucene."
LIMBO_Cluster_7,org/apache/lucene/codecs/memory/DirectPostingsFormat/HighFreqDocsEnum.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/HighFreqPostingsEnum.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/LowFreqDocsEnum.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/LowFreqDocsEnumNoPos.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/LowFreqDocsEnumNoTF.java; org/apache/lucene/codecs/memory/DirectPostingsFormat/LowFreqPostingsEnum.java; org/apache/lucene/codecs/simpletext/SimpleTextTermVectorsReader/SimpleTVDocsEnum.java; org/apache/lucene/codecs/simpletext/SimpleTextTermVectorsReader/SimpleTVPostings.java; org/apache/lucene/codecs/simpletext/SimpleTextTermVectorsReader/SimpleTVPostingsEnum.java,LIMBO Architectural Component 7,"This LIMBO cluster groups related Apache Lucene classes based on structural similarity. The components interact through indexing, storage, codec, and retrieval responsibilities. The architecture improves maintainability, modularity, and scalability by organizing related Java classes together. Technologies used include Java and Apache Lucene."
LIMBO_Cluster_8,org/apache/lucene/codecs/memory/LegacyBinaryDocValuesWrapper.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/1.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/1/1.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/10.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/10/1.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/2.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/2/1.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/3.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/3/1.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/4.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/4/1.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/5.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/5/1.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/6.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/6/1.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/7.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/7/1.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/8.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/8/1.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/9.java; org/apache/lucene/codecs/memory/LegacyDocValuesIterables/9/1.java; org/apache/lucene/codecs/memory/LegacyNumericDocValuesWrapper.java; org/apache/lucene/codecs/memory/LegacySortedDocValuesWrapper.java; org/apache/lucene/codecs/memory/LegacySortedNumericDocValuesWrapper.java; org/apache/lucene/codecs/memory/LegacySortedSetDocValuesWrapper.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader/1.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader/5.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader/8.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader/DocValuesIterator.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader/OneField.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesWriter/1.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesWriter/1/1.java; org/apache/lucene/codecs/simpletext/SimpleTextLiveDocsFormat/SimpleTextBits.java,LIMBO Architectural Component 8,"This LIMBO cluster groups related Apache Lucene classes based on structural similarity. The components interact through indexing, storage, codec, and retrieval responsibilities. The architecture improves maintainability, modularity, and scalability by organizing related Java classes together. Technologies used include Java and Apache Lucene."
LIMBO_Cluster_9,org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader/2.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader/3.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader/4.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader/6.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader/7.java; org/apache/lucene/codecs/simpletext/SimpleTextDocValuesReader/9.java; org/apache/lucene/codecs/simpletext/SimpleTextFieldsReader/SimpleTextDocsEnum.java; org/apache/lucene/codecs/simpletext/SimpleTextFieldsReader/SimpleTextPostingsEnum.java; org/apache/lucene/codecs/simpletext/SimpleTextSkipReader.java,LIMBO Architectural Component 9,"This LIMBO cluster groups related Apache Lucene classes based on structural similarity. The components interact through indexing, storage, codec, and retrieval responsibilities. The architecture improves maintainability, modularity, and scalability by organizing related Java classes together. Technologies used include Java and Apache Lucene."
